S1_std,S1_val,P_choose1,N_trials
0.2,-4.8161000000000005,0.0,80
0.2,-4.5661000000000005,0.0,80
0.2,-4.3161000000000005,0.0,80
0.2,-4.0661000000000005,0.0,80
0.2,-3.816100000000001,0.0,80
0.2,-3.5661000000000005,0.0,80
0.2,-3.3161000000000005,0.0,80
0.2,-3.0661000000000005,0.0,80
0.2,-2.8161000000000005,0.0,80
0.2,-2.5661000000000005,0.0,80
0.2,-2.3161000000000005,0.0125,80
0.2,-2.0661000000000005,0.0375,80
0.2,-1.8161000000000005,0.0375,80
0.2,-1.5661000000000005,0.1,80
0.2,-1.3161000000000005,0.15,80
0.2,-1.0661000000000005,0.35,80
0.2,-0.8161000000000005,0.5,80
0.2,-0.5661000000000005,0.7375,80
0.2,-0.3161000000000005,0.8125,80
0.2,-0.0661000000000004,0.9,80
0.2,0.1838999999999995,0.95,80
0.2,0.4338999999999995,0.9625,80
0.2,0.6838999999999995,0.9875,80
0.2,0.9338999999999996,1.0,80
0.2,1.1838999999999995,1.0,80
0.2,1.4338999999999995,1.0,80
0.2,1.6838999999999995,1.0,80
0.2,1.9338999999999995,1.0,80
0.2,2.1838999999999995,1.0,80
0.2,2.4338999999999995,1.0,80
0.2,2.6838999999999995,1.0,80
0.2,2.9338999999999995,1.0,80
0.2,3.1838999999999995,1.0,80
0.2332289705236212,-4.8161000000000005,0.0,80
0.2332289705236212,-4.5661000000000005,0.0,80
0.2332289705236212,-4.3161000000000005,0.0,80
0.2332289705236212,-4.0661000000000005,0.0,80
0.2332289705236212,-3.816100000000001,0.0,80
0.2332289705236212,-3.5661000000000005,0.0,80
0.2332289705236212,-3.3161000000000005,0.0,80
0.2332289705236212,-3.0661000000000005,0.0,80
0.2332289705236212,-2.8161000000000005,0.0,80
0.2332289705236212,-2.5661000000000005,0.0,80
0.2332289705236212,-2.3161000000000005,0.0,80
0.2332289705236212,-2.0661000000000005,0.0125,80
0.2332289705236212,-1.8161000000000005,0.0125,80
0.2332289705236212,-1.5661000000000005,0.0875,80
0.2332289705236212,-1.3161000000000005,0.2125,80
0.2332289705236212,-1.0661000000000005,0.325,80
0.2332289705236212,-0.8161000000000005,0.6,80
0.2332289705236212,-0.5661000000000005,0.6625,80
0.2332289705236212,-0.3161000000000005,0.8,80
0.2332289705236212,-0.0661000000000004,0.95,80
0.2332289705236212,0.1838999999999995,0.9875,80
0.2332289705236212,0.4338999999999995,0.9875,80
0.2332289705236212,0.6838999999999995,0.9875,80
0.2332289705236212,0.9338999999999996,1.0,80
0.2332289705236212,1.1838999999999995,1.0,80
0.2332289705236212,1.4338999999999995,1.0,80
0.2332289705236212,1.6838999999999995,1.0,80
0.2332289705236212,1.9338999999999995,1.0,80
0.2332289705236212,2.1838999999999995,1.0,80
0.2332289705236212,2.4338999999999995,1.0,80
0.2332289705236212,2.6838999999999995,1.0,80
0.2332289705236212,2.9338999999999995,1.0,80
0.2332289705236212,3.1838999999999995,1.0,80
0.2719787634575408,-4.8161000000000005,0.0,80
0.2719787634575408,-4.5661000000000005,0.0,80
0.2719787634575408,-4.3161000000000005,0.0,80
0.2719787634575408,-4.0661000000000005,0.0,80
0.2719787634575408,-3.816100000000001,0.0,80
0.2719787634575408,-3.5661000000000005,0.0,80
0.2719787634575408,-3.3161000000000005,0.0,80
0.2719787634575408,-3.0661000000000005,0.0,80
0.2719787634575408,-2.8161000000000005,0.0,80
0.2719787634575408,-2.5661000000000005,0.0,80
0.2719787634575408,-2.3161000000000005,0.05,80
0.2719787634575408,-2.0661000000000005,0.0125,80
0.2719787634575408,-1.8161000000000005,0.05,80
0.2719787634575408,-1.5661000000000005,0.075,80
0.2719787634575408,-1.3161000000000005,0.1875,80
0.2719787634575408,-1.0661000000000005,0.35,80
0.2719787634575408,-0.8161000000000005,0.4875,80
0.2719787634575408,-0.5661000000000005,0.675,80
0.2719787634575408,-0.3161000000000005,0.8375,80
0.2719787634575408,-0.0661000000000004,0.8625,80
0.2719787634575408,0.1838999999999995,0.975,80
0.2719787634575408,0.4338999999999995,0.9625,80
0.2719787634575408,0.6838999999999995,0.9875,80
0.2719787634575408,0.9338999999999996,1.0,80
0.2719787634575408,1.1838999999999995,1.0,80
0.2719787634575408,1.4338999999999995,1.0,80
0.2719787634575408,1.6838999999999995,1.0,80
0.2719787634575408,1.9338999999999995,1.0,80
0.2719787634575408,2.1838999999999995,1.0,80
0.2719787634575408,2.4338999999999995,1.0,80
0.2719787634575408,2.6838999999999995,1.0,80
0.2719787634575408,2.9338999999999995,1.0,80
0.2719787634575408,3.1838999999999995,1.0,80
0.3171666350274487,-4.8161000000000005,0.0,80
0.3171666350274487,-4.5661000000000005,0.0,80
0.3171666350274487,-4.3161000000000005,0.0,80
0.3171666350274487,-4.0661000000000005,0.0,80
0.3171666350274487,-3.816100000000001,0.0,80
0.3171666350274487,-3.5661000000000005,0.0,80
0.3171666350274487,-3.3161000000000005,0.0,80
0.3171666350274487,-3.0661000000000005,0.0,80
0.3171666350274487,-2.8161000000000005,0.0,80
0.3171666350274487,-2.5661000000000005,0.0,80
0.3171666350274487,-2.3161000000000005,0.0125,80
0.3171666350274487,-2.0661000000000005,0.0,80
0.3171666350274487,-1.8161000000000005,0.0125,80
0.3171666350274487,-1.5661000000000005,0.0875,80
0.3171666350274487,-1.3161000000000005,0.2125,80
0.3171666350274487,-1.0661000000000005,0.4375,80
0.3171666350274487,-0.8161000000000005,0.6125,80
0.3171666350274487,-0.5661000000000005,0.6125,80
0.3171666350274487,-0.3161000000000005,0.775,80
0.3171666350274487,-0.0661000000000004,0.9,80
0.3171666350274487,0.1838999999999995,0.95,80
0.3171666350274487,0.4338999999999995,0.9875,80
0.3171666350274487,0.6838999999999995,1.0,80
0.3171666350274487,0.9338999999999996,1.0,80
0.3171666350274487,1.1838999999999995,1.0,80
0.3171666350274487,1.4338999999999995,1.0,80
0.3171666350274487,1.6838999999999995,1.0,80
0.3171666350274487,1.9338999999999995,1.0,80
0.3171666350274487,2.1838999999999995,1.0,80
0.3171666350274487,2.4338999999999995,1.0,80
0.3171666350274487,2.6838999999999995,1.0,80
0.3171666350274487,2.9338999999999995,1.0,80
0.3171666350274487,3.1838999999999995,1.0,80
0.3698622388594648,-4.8161000000000005,0.0,80
0.3698622388594648,-4.5661000000000005,0.0,80
0.3698622388594648,-4.3161000000000005,0.0,80
0.3698622388594648,-4.0661000000000005,0.0,80
0.3698622388594648,-3.816100000000001,0.0,80
0.3698622388594648,-3.5661000000000005,0.0,80
0.3698622388594648,-3.3161000000000005,0.0,80
0.3698622388594648,-3.0661000000000005,0.0,80
0.3698622388594648,-2.8161000000000005,0.0125,80
0.3698622388594648,-2.5661000000000005,0.0,80
