S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0.4,0.4,-0.8161,-3.8161,0.016666666666666666,60
0.4,0.4,-0.8161,-3.5661,0.0,60
0.4,0.4,-0.8161,-3.3161,0.0,60
0.4,0.4,-0.8161,-3.0661,0.0,60
0.4,0.4,-0.8161,-2.8161,0.0,60
0.4,0.4,-0.8161,-2.5661,0.0,60
0.4,0.4,-0.8161,-2.3161,0.0,60
0.4,0.4,-0.8161,-2.0661,0.0,60
0.4,0.4,-0.8161,-1.8161,0.13333333333333333,60
0.4,0.4,-0.8161,-1.5661,0.15,60
0.4,0.4,-0.8161,-1.3161,0.21666666666666667,60
0.4,0.4,-0.8161,-1.0661,0.45,60
0.4,0.4,-0.8161,-0.8161,0.4166666666666667,60
0.4,0.4,-0.8161,-0.5661,0.65,60
0.4,0.4,-0.8161,-0.3161,0.7166666666666667,60
0.4,0.4,-0.8161,-0.0661,0.8333333333333334,60
0.4,0.4,-0.8161,0.1838999999999999,0.9333333333333333,60
0.4,0.4,-0.8161,0.4338999999999999,0.9833333333333333,60
0.4,0.4,-0.8161,0.6839,0.9,60
0.4,0.4,-0.8161,0.9339,1.0,60
0.4,0.4,-0.8161,1.1839,0.9833333333333333,60
0.4,0.4,-0.8161,1.4339,1.0,60
0.4,0.4,-0.8161,1.6839,1.0,60
0.4,0.4,-0.8161,1.9339,1.0,60
0.4,0.4,-0.8161,2.1839,1.0,60
0.6,0.6,-0.8161,-3.8161,0.0,60
0.6,0.6,-0.8161,-3.5661,0.0,60
0.6,0.6,-0.8161,-3.3161,0.016666666666666666,60
0.6,0.6,-0.8161,-3.0661,0.03333333333333333,60
0.6,0.6,-0.8161,-2.8161,0.05,60
0.6,0.6,-0.8161,-2.5661,0.1,60
0.6,0.6,-0.8161,-2.3161,0.08333333333333333,60
0.6,0.6,-0.8161,-2.0661,0.16666666666666666,60
0.6,0.6,-0.8161,-1.8161,0.18333333333333332,60
